Date,Region,Product,Price,Cost,Units,Sales
2023-01-01,North,Widget A,150,90,12,1800
2023-01-02,South,Widget B,200,120,8,1600
2023-01-03,East,Widget C,100,60,25,2500
2023-01-04,West,Widget A,150,90,15,2250
2023-01-05,North,Widget B,200,120,5,1000
2023-01-06,South,Widget C,100,60,30,3000
2023-01-07,East,Widget A,150,90,10,1500
2023-01-08,West,Widget B,200,120,20,4000
2023-01-09,North,Widget C,100,60,50,5000
2023-01-10,South,Widget A,150,90,18,2700
2023-01-11,East,Widget B,200,120,12,2400
2023-01-12,West,Widget C,100,60,40,4000
2023-02-01,North,Widget A,155,92,14,2170
2023-02-02,South,Widget B,205,125,10,2050
2023-02-03,East,Widget C,105,62,28,2940
2023-02-04,West,Widget A,155,92,20,3100
2023-02-05,North,Widget B,205,125,7,1435
2023-02-06,South,Widget C,105,62,35,3675
2023-02-07,East,Widget A,155,92,12,1860
2023-02-08,West,Widget B,205,125,25,5125
2023-02-09,North,Widget C,105,62,55,5775
2023-02-10,South,Widget A,155,92,22,3410
2023-03-01,North,Widget A,160,95,16,2560
2023-03-02,South,Widget B,210,130,12,2520
2023-03-03,East,Widget C,110,65,32,3520
2023-03-04,West,Widget A,160,95,25,4000
2023-03-05,North,Widget B,210,130,10,2100
2023-03-06,South,Widget C,110,65,40,4400
2023-03-07,East,Widget A,160,95,15,2400
2023-03-08,West,Widget B,210,130,30,6300
2023-03-09,North,Widget C,110,65,60,6600
2023-03-10,South,Widget A,160,95,24,3840
2023-04-01,North,Widget A,165,98,18,2970
2023-04-02,South,Widget B,215,135,15,3225
2023-04-03,East,Widget C,115,68,36,4140
2023-04-04,West,Widget A,165,98,28,4620
2023-04-05,North,Widget B,215,135,12,2580
2023-04-06,South,Widget C,115,68,45,5175
2023-04-07,East,Widget A,165,98,18,2970
2023-04-08,West,Widget B,215,135,35,7525
2023-04-09,North,Widget C,115,68,70,8050
2023-04-10,South,Widget A,165,98,30,4950
2023-05-01,North,Widget A,170,100,20,3400
2023-05-02,South,Widget B,220,140,18,3960
2023-05-03,East,Widget C,120,70,40,4800
2023-05-04,West,Widget A,170,100,32,5440
2023-05-05,North,Widget B,220,140,15,3300
2023-05-06,South,Widget C,120,70,50,6000
2023-05-07,East,Widget A,170,100,20,3400
2023-05-08,West,Widget B,220,140,40,8800
2023-05-09,North,Widget C,120,70,80,9600
2023-05-10,South,Widget A,170,100,35,5950
2023-06-01,North,Widget A,175,105,22,3850
2023-06-02,South,Widget B,225,145,20,4500
2023-06-03,East,Widget C,125,75,45,5625
2023-06-04,West,Widget A,175,105,35,6125
2023-06-05,North,Widget B,225,145,18,4050
2023-06-06,South,Widget C,125,75,55,6875
2023-06-07,East,Widget A,175,105,22,3850
2023-06-08,West,Widget B,225,145,45,10125
2023-06-09,North,Widget C,125,75,90,11250
2023-06-10,South,Widget A,175,105,40,7000
2023-07-01,North,Widget A,180,110,25,4500
2023-07-02,South,Widget B,230,150,22,5060
2023-07-03,East,Widget C,130,80,50,6500
2023-07-04,West,Widget A,180,110,40,7200
2023-07-05,North,Widget B,230,150,20,4600
2023-07-06,South,Widget C,130,80,60,7800
2023-07-07,East,Widget A,180,110,25,4500
2023-07-08,West,Widget B,230,150,50,11500
2023-07-09,North,Widget C,130,80,100,13000
2023-07-10,South,Widget A,180,110,45,8100
2023-08-01,North,Widget A,185,115,28,5180
2023-08-02,South,Widget B,235,155,25,5875
2023-08-03,East,Widget C,135,85,55,7425
2023-08-04,West,Widget A,185,115,45,8325
2023-08-05,North,Widget B,235,155,22,5170
2023-08-06,South,Widget C,135,85,65,8775
2023-08-07,East,Widget A,185,115,28,5180
2023-08-08,West,Widget B,235,155,55,12925
2023-08-09,North,Widget C,135,85,110,14850
2023-08-10,South,Widget A,185,115,50,9250
2023-09-01,North,Widget A,190,120,30,5700
2023-09-02,South,Widget B,240,160,28,6720
2023-09-03,East,Widget C,140,90,60,8400
2023-09-04,West,Widget A,190,120,50,9500
2023-09-05,North,Widget B,240,160,25,6000
2023-09-06,South,Widget C,140,90,70,9800
2023-09-07,East,Widget A,190,120,30,5700
2023-09-08,West,Widget B,240,160,60,14400
2023-09-09,North,Widget C,140,90,120,16800
2023-09-10,South,Widget A,190,120,55,10450
2023-10-01,North,Widget A,195,125,32,6240
2023-10-02,South,Widget B,245,165,30,7350
2023-10-03,East,Widget C,145,95,65,9425
2023-10-04,West,Widget A,195,125,55,10725
2023-10-05,North,Widget B,245,165,28,6860
2023-10-06,South,Widget C,145,95,75,10875
2023-10-07,East,Widget A,195,125,32,6240
2023-10-08,West,Widget B,245,165,65,15925
2023-10-09,North,Widget C,145,95,130,18850
2023-10-10,South,Widget A,195,125,60,11700
