Date,Description,Amount
2024-01-01,Starbucks Coffee #442,6.50
2024-01-02,Uber Trip - San Francisco,24.30
2024-01-02,PG&E Utility Bill,145.00
2024-01-03,Whole Foods Market,88.20
2024-01-04,Shell Gas Station,55.00
2024-01-05,Netflix.com Subscription,15.99
2024-01-05,Amazon.com - Electronics,129.00
2024-01-06,Chipotle Mexican Grill,14.50
2024-01-07,Lyft Ride - Airport,32.00
2024-01-08,Comcast Xfinity Internet,89.99
2024-01-09,Apple.com - iCloud Storage,2.99
2024-01-10,Chevron Fuel,62.40
2024-01-11,Safeway Groceries,74.15
2024-01-12,Planet Fitness Membership,25.00
2024-01-13,DoorDash - Sushi Zen,42.10
